Hour,Light,IsRaining,LightStatus
10,2655,0,0
11,2102,0,0
15,3793,0,1
5,1274,0,1
12,2786,0,0
5,3430,0,1
0,2502,0,1
2,1328,0,1
9,2225,0,1
8,799,0,0
8,2916,0,0
15,1243,0,0
21,2499,0,1
12,63,0,0
3,2274,0,1
6,1766,0,0
16,2836,0,0
15,3221,0,0
1,1194,0,1
17,3220,1,1
0,738,0,1
23,2675,0,1
19,904,1,1
9,858,0,0
9,678,0,0
5,1921,0,1
0,1787,0,1
21,1093,0,1
16,1629,0,0
6,3762,0,1
3,793,0,1
1,495,0,1
0,2539,1,1
0,1245,0,1
19,1320,0,1
6,3296,0,1
12,3793,1,1
1,67,0,0
12,3808,0,1
9,2896,0,0
3,457,0,1
8,2132,0,0
11,1584,0,0
5,90,0,1
3,276,0,1
18,546,0,1
11,762,0,0
3,2949,0,1
7,1818,0,0
0,3940,0,1
14,272,0,0
19,1688,1,1
2,3215,0,1
2,2266,0,1
0,1732,0,1
22,2502,0,1
2,4,0,1
8,3856,0,1
10,1985,0,0
13,3049,0,1
2,2904,0,1
16,3772,0,1
10,3960,0,1
10,2588,0,0
16,3704,0,1
21,468,0,1
5,2317,0,1
23,1239,0,1
22,3613,1,1
2,718,0,1
19,2396,0,1
16,697,0,0
4,1839,0,1
4,2223,0,1
23,3953,0,1
9,1067,1,0
4,1072,0,1
23,2840,0,1
4,3441,0,1
8,711,1,0
7,458,0,0
14,2350,0,0
17,1250,0,0
23,2345,0,1
19,3584,0,1
1,3962,1,1
6,2689,1,1
1,3776,0,1
1,343,0,1
1,2641,1,1
22,3701,0,1
2,1011,0,1
5,1983,0,1
15,3973,0,1
3,1533,0,1
5,1652,1,1
2,1443,0,1
11,1515,0,0
10,1073,0,0
2,3430,0,1
1,2469,0,1
22,2362,0,0
8,454,0,0
18,2777,0,1
12,3374,0,1
6,2304,0,0
4,2798,0,1
2,568,0,1
3,435,1,1
17,3147,1,1
17,2815,0,1
10,630,0,0
21,3228,0,1
17,2990,1,1
12,1151,0,0
1,1645,0,1
21,2788,0,1
9,1878,0,0
16,704,0,0
19,1946,0,1
4,1312,0,1
22,3381,0,1
5,2961,0,1
22,2971,0,1
23,3113,0,1
15,128,0,0
6,2719,0,0
18,163,0,1
23,2893,0,1
13,3038,0,1
0,1204,1,1
23,3706,0,1
23,3785,0,1
18,3910,1,1
5,3176,0,1
17,1766,0,0
8,1573,1,0
14,2726,1,1
2,971,0,1
23,3531,1,1
22,4010,0,0
3,1325,0,1
9,2908,0,0
11,3498,1,1
20,3335,0,1
20,1250,1,1
3,3516,1,1
22,2638,1,1
9,1065,0,0
11,1525,0,0
19,3769,0,1
3,228,0,1
21,2938,0,1
