Temperature,Humidity,Pressure,Light,Cloudiness,API_Rain,Predict_Rain
34.9,72.8,1009.3,1824,58,0,0
36.6,85.2,1008.6,3717,57,0,0
31.2,73.0,1004.4,2977,63,1,0
26.6,72.3,1009.6,1934,28,1,0
32.0,69.5,991.3,829,90,0,0
35.6,97.0,1019.9,3511,45,0,1
35.0,90.9,1012.6,2040,15,0,0
32.7,99.3,1010.1,1365,27,0,1
31.6,99.8,1013.9,59,92,0,1
20.9,90.1,1007.1,2202,44,0,0
32.4,65.1,1017.6,1318,0,0,0
37.9,71.5,991.9,1734,56,0,0
27.6,77.0,993.2,3456,64,0,0
23.0,51.3,1001.7,588,9,0,0
22.2,51.4,1002.6,2952,94,0,0
26.5,77.9,996.6,3584,53,0,0
27.9,47.3,1004.3,389,13,1,0
38.2,93.1,1021.8,57,34,0,0
30.6,47.3,1019.1,2290,92,0,0
37.6,74.0,999.8,3526,23,0,0
20.9,61.7,992.6,1619,40,1,0
34.9,82.8,1012.2,4063,75,0,0
26.1,58.5,1023.5,1880,16,1,0
26.1,61.6,1018.9,2465,85,0,0
20.9,53.9,1014.6,2358,88,0,0
34.6,95.6,1012.7,1988,24,0,1
25.9,67.4,990.8,3114,3,1,0
32.8,54.4,1006.3,3250,22,0,0
40.0,67.9,1011.4,3093,91,0,0
29.1,98.1,1021.2,2805,78,1,1
23.8,62.8,1020.2,2299,41,0,0
37.1,55.3,999.1,1256,67,0,0
36.1,52.2,1018.3,917,33,0,0
30.7,79.6,990.7,759,15,1,0
39.7,57.0,996.1,2799,80,0,0
31.1,66.6,1015.0,640,43,0,0
21.7,71.8,1024.4,631,75,1,0
27.7,88.4,998.5,2440,59,0,1
32.2,66.4,1013.3,1450,2,0,0
21.6,97.6,1020.2,676,99,0,1
32.1,44.9,998.1,347,2,1,0
21.2,82.1,1015.7,3132,52,0,0
35.1,41.9,1005.0,3959,33,0,0
27.3,74.2,993.2,2093,73,0,0
25.4,64.4,1020.4,1478,24,0,0
23.1,60.6,1003.8,1492,57,0,0
33.9,76.4,996.0,571,4,1,0
31.0,67.9,1021.4,1851,3,0,0
27.0,98.6,1017.4,741,65,0,1
24.6,71.1,990.9,3477,2,0,0
34.1,75.5,1020.4,2896,0,0,0
29.5,75.7,1003.5,283,25,0,0
39.3,82.4,1004.9,62,29,0,0
20.0,62.1,1009.7,3039,100,0,0
26.3,48.5,993.7,183,71,0,0
22.7,62.6,992.0,1421,34,0,0
24.6,55.4,993.7,3351,37,0,0
39.2,87.7,1015.3,2983,62,0,0
36.3,43.8,1007.6,536,72,0,0
32.0,97.9,1011.8,312,80,0,1
22.1,86.7,1011.3,403,92,0,0
36.4,54.2,1020.0,721,3,0,0
36.1,52.2,999.2,3596,24,0,0
27.9,59.8,1011.3,2546,53,0,0
32.5,43.9,990.1,2760,52,0,0
21.7,65.2,1011.9,3767,71,0,0
30.6,92.2,1002.8,2917,44,1,1
34.4,60.5,1015.5,1654,43,0,0
27.6,53.1,1003.5,108,14,0,0
25.4,75.7,999.0,1836,46,0,0
39.1,89.9,999.8,1373,49,1,1
32.0,46.8,992.1,3273,7,1,0
35.7,98.2,1000.1,3798,7,1,1
25.8,75.1,1018.4,509,41,1,0
31.0,42.7,1019.5,1144,46,0,0
29.5,91.5,996.5,3326,73,0,1
29.2,49.1,1000.7,3019,23,1,0
33.3,72.0,1020.9,1857,84,0,0
26.0,54.4,990.6,103,76,0,0
23.8,53.0,991.7,1910,65,0,0
20.9,82.5,998.2,3608,86,0,0
32.8,94.8,992.0,2279,25,0,1
27.0,93.4,1019.4,2510,66,1,0
32.9,40.9,1018.2,3068,74,0,0
20.7,68.2,997.2,2567,56,1,0
25.7,71.0,1017.7,366,65,0,0
23.8,67.1,1021.5,2690,18,0,1
30.2,81.9,997.2,3029,60,0,0
20.5,79.2,1006.2,3487,6,0,1
30.0,79.0,997.7,1130,91,0,0
22.9,62.4,1010.7,3308,10,0,0
36.8,58.7,1004.4,310,12,0,0
39.5,74.1,1019.3,2764,54,1,0
